,MolWt,LogP,TPSA,SMILES,FP,FP array
21,118.13499999999998,1.3818,17.07,C=C1CC=C2C=C1C2=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008fe2e0>,[0 0 0 ... 0 0 0]
22,481.478,5.041300000000005,81.10000000000001,CN(C)c1ccc2c(Oc3ccc(CC(=O)CCc4ccc(C(F)(F)F)nc4)nc3)ncnc2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836040>,[0 0 0 ... 0 0 0]
23,782.9439999999998,8.691360000000005,140.79999999999998,CC1=C(C#N)C(=O)N(C)C(=O)/C1=C/c1cc2c(s1)-c1cc3c(cc1C1(CCCCC1)O2)-c1sc(/C=C2/C(=O)N(C)C(=O)C(C#N)=C2C)cc1OC31CCCCC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008360b0>,[1 0 1 ... 0 0 0]
24,818.8979999999999,3.376380000000003,162.64999999999998,CN(C(=O)Cc1cc(N2CCN(CCN3CCN(c4ccc(OC[C@](C)(O)C(=O)Nc5ccc(C#N)c(C(F)(F)F)c5)cc4)CC3)CC2)ccn1)C1CCC(=O)CC1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836120>,[0 0 0 ... 0 0 0]
25,421.5420000000002,3.587400000000003,56.81,COc1ccc2c(c1)S/C(=C\C=C\c1cc[n+](CCO)c3ccccc13)N2CCO,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836190>,[0 0 0 ... 0 0 0]
26,451.3800000000001,3.952100000000004,47.58,CN1/C(=C\C=C\c2cc[n+](Cc3cccc(B(O)O)c3)c3ccccc23)Sc2ccccc21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836200>,[0 0 0 ... 0 0 0]
27,421.75400000000025,8.719200000000006,20.310000000000002,CCCCCCCCCCCCCCCCCCCC(=O)CCN1CCCC(C)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836270>,[0 0 0 ... 0 0 1]
28,861.4789999999991,15.603099999999964,70.08,CCCCCCCCC(CCCCCC)CC(=O)CCCCCCN(CCCCCOC(=O)CC(CCCCCC)CCCCCCCC)CCN(CCO)C1CCCCC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008362e0>,[0 1 1 ... 0 0 0]
29,619.8340000000003,7.674800000000008,72.91,CN(C(=O)OCC1c2ccccc2-c2ccccc21)[C@@H](Cc1ccccc1)C(=O)C[C@@H](Cc1ccccc1)C(=O)O[Si](C)(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836350>,[0 1 0 ... 0 0 0]
30,454.5340000000003,3.118780000000002,86.76,C#CC(=O)N1CCN(c2ccc(-c3cc(OCC4(C)CCC4)cn4ncc(C#N)c34)cn2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008363c0>,[0 0 0 ... 0 0 0]
31,300.17999999999995,0.16390000000000016,88.99,N/C(=N\C=[NH2+])c1[nH]c(C2CCOCC2)cc1Br,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836430>,[0 0 0 ... 0 0 0]
32,546.6450000000003,5.350220000000005,104.68,CCc1ccc(Oc2cccnc2OC)c([C@]2(C(=O)CS(=O)(=O)c3cccc4nc(C)ccc34)CCCO2)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008364a0>,[0 0 0 ... 0 0 0]
33,546.6450000000003,5.350220000000005,104.68,CCc1ccc(Oc2cccnc2OC)c([C@@]2(C(=O)CS(=O)(=O)c3cccc4nc(C)ccc34)CCCO2)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836510>,[0 0 0 ... 0 0 0]
34,546.6450000000003,5.350220000000005,104.68,CCc1ccc(Oc2cccnc2OC)c(C2(C(=O)CS(=O)(=O)c3cccc4nc(C)ccc34)CCCO2)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836580>,[0 0 0 ... 0 0 0]
35,384.1260000000001,-0.9816,102.78000000000002,COC1[C@@H](OC)O[C@@H](n2cc(I)c(=O)[nH]c2=O)[C@H]1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008365f0>,[0 0 0 ... 0 0 0]
36,281.27200000000005,-0.39179999999999904,117.28000000000002,COC1C[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836660>,[0 0 0 ... 0 0 0]
37,360.16800000000006,0.048199999999999965,117.54,COC1[C@@H](OC)O[C@@H](n2cnc3c(N)nc(Br)nc32)[C@H]1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008366d0>,[0 0 0 ... 0 0 0]
38,324.3610000000001,0.22270000000000034,91.26000000000002,COC1C[C@H](n2cnc3c(=O)[nH]c([N+](C)(C)C)nc32)O[C@@H]1OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836740>,[0 0 0 ... 0 0 0]
39,427.41700000000014,0.9044999999999994,143.84,COC1[C@@H](OC)O[C@@H](n2cnc3c(N)nc(/C=C/C(=O)Oc4ccccc4)nc32)[C@H]1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008367b0>,[0 0 0 ... 0 0 0]
40,443.5770000000002,1.0158200000000002,126.13000000000001,Cc1cc(Cc2nc(N3CCCC(NC(=O)C4CCNCC4)C3)cnc2C(N)=O)sn1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836820>,[0 0 0 ... 0 0 0]
41,521.5400000000002,3.182800000000001,136.10999999999999,COc1ccc(C)c2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]3CCNC3=O)c(C(F)(F)F)c12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836890>,[0 1 0 ... 0 0 0]
42,229.081,0.6838000000000002,63.3,CN/N=C(\N)c1ccc(Br)nc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836900>,[0 0 0 ... 0 0 0]
43,609.748,4.619600000000004,121.44,O=C(NCc1ccccc1)C(=O)[C@H](C[C@@H]1CCCNC1=O)NC(=O)[C@@H](CC(=O)c1cc2ccccc2s1)Cc1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836970>,[0 1 0 ... 0 0 0]
44,1245.659999999999,2.3407999999999944,303.05,C/C=C/C[C@@H](C)[C@H]1OC(C)[C@H]2C(=O)N(C)C1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](OCCN)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N2C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008369e0>,[0 1 0 ... 0 0 0]
