,SMILES,FP,FP array
111,CCC(C)(C)C(=O)OCCNC(=O)OCCCCCCSC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39270>,[0 0 0 ... 0 0 0]
112,CN(C)/C=N/c1ncn([C@H]2CC(O)[C@@H](CO)O2)c(=O)n1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e394a0>,[0 0 0 ... 0 0 0]
113,CC[C@H]1O[C@@H](n2cnc(/N=C/N(C)C)nc2=O)CC1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39cf0>,[0 0 0 ... 0 0 0]
114,CC(=O)CNC(=O)C(CC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)OC(C)(C)C)CC(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39eb0>,[0 1 0 ... 0 0 0]
115,[C-]#[N+]c1ccc(-n2cc(-c3cc(C(=O)CCC)cc(-c4cn(-c5ccc([N+]#[C-])c(C(F)(F)F)c5)nn4)n3)nn2)cc1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39d60>,[0 0 0 ... 0 0 0]
116,CCCCCN1C(=O)c2ccc3c4ncc(C(=O)OC)c5c(C(=O)N(CCc6ccccc6)Cc6ccc(C)cc6)ccc(c6ncc(c2c36)C1=O)c54,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39e40>,[0 0 0 ... 0 0 0]
117,Nc1cccc(-n2c3ccccc3c3ccccc32)c1[N+](=O)[O-],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39f90>,[0 0 0 ... 0 0 0]
118,c1ccc(-c2n[nH]c(C3=Nc4ccccc4C3)n2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39dd0>,[0 0 0 ... 0 0 0]
119,C=C(C)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC)C(C)(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39430>,[0 1 0 ... 0 0 0]
120,COCCCCCCNC(=O)CCNC(=O)CCO[C@H]1C(COCCC(=O)CCCC(=O)CCOC)O[C@@H](OCCC(=O)CCC(=O)Oc2c(F)c(F)c(F)c(F)c2F)C(NC(C)=O)[C@H]1OCCC(=O)NCCC(=O)CCOC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39510>,[0 0 0 ... 0 0 0]
121,COCCCCCCNC(=O)CCNC(=O)CCO[C@H]1C(COCCC(=O)CCCC(=O)CCOC)O[C@@H](OCCC(=O)CCC(=O)NCCCCCCO)C(NC(C)=O)[C@H]1OCCC(=O)NCCC(=O)CCOC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e392e0>,[0 0 0 ... 0 0 0]
122,[C-]#[N+]CCOP(OCCCCCCCC(=O)CCC(=O)CCO[C@@H]1OC(COCCC(=O)CCCC(=O)CCOC)[C@H](OCCC(=O)NCCC(=O)NCCCCCCOC)[C@H](OCCC(=O)NCCC(=O)CCOC)C1NC(C)=O)N(C(C)C)C(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500e39350>,[0 1 0 ... 0 0 0]
123,CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4ccc5ccccc5c4)cc3)c3ccc4c(c3)oc3cc5c(cc34)oc3cc4c(cc35)oc3cc(N(c5ccc(-c6ccc7ccccc7c6)cc5)c5ccc6c(c5)C(C)(C)c5ccccc5-6)ccc34)cc21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500834eb0>,[0 0 0 ... 0 0 0]
124,Cc1ccc2c(c1)[C@@H](C)Oc1cc(cnc1N)-c1c(C(F)F)cnn1Cc1sc(C)nc1-2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500834f20>,[0 1 0 ... 0 0 0]
125,c1ccc(-c2ccc(-c3nc(-c4ccc(-c5c(-c6cccc7ccccc67)ccc6oc7cc8ccccc8cc7c56)cc4)nc(-c4ccc5sc6ccccc6c5c4)n3)cc2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500834ba0>,[0 0 0 ... 0 0 0]
126,c1ccc(-c2ccc(-c3nc(-c4ccc(-c5c(-c6ccc(-c7ccccc7)cc6)ccc6oc7cc8ccccc8cc7c56)cc4)nc(-c4cccc5sc6ccccc6c45)n3)cc2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500834d60>,[0 0 0 ... 0 0 0]
127,Cc1c(C(=O)CC2CC(O)(C(F)(F)F)C2)noc1CCNc1ncnc2[nH]ccc12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500834f90>,[0 0 0 ... 0 0 0]
128,O=C(CCc1cccnc1)Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)C=NC3)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500834e40>,[0 0 0 ... 0 0 0]
129,CCCCCCCCC(C)CN(CCCC(=O)O)CC(CCCCCCCC)O[Si](C)(C)C(C)(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500834c10>,[0 1 0 ... 0 0 0]
130,CCCCCCCCC(C)CN(CCCC(=O)OCCN1CC(C)N(CCOC(=O)CCCN(CC(CCCCCCCC)O[Si](C)(C)C(C)(C)C)CC(CCCCCCCC)O[Si](C)(C)C(C)(C)C)CC1C)CC(C)CCCCCCCC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005ddd60>,[0 1 0 ... 0 0 0]
131,O=C1CCC(N2Cc3c(SCCCCCCCCC45CC6CC(CC(O)(C6)C4)C5)cccc3C2=O)C(=O)N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005dde40>,[0 0 0 ... 0 0 0]
132,O=C1C[C@H](CCC(=O)N2CC3(CCN(Cc4ccc(C(F)(F)F)nc4)CC3)C2)CO1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005dddd0>,[0 0 0 ... 0 0 0]
133,CCN1C(=O)/C(=C/c2nc3c(s2)-c2sc(/C=C4\SC(=S)N(CC)C4=O)nc2C(C)(C)O3)SC1=S,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005ddeb0>,[0 0 0 ... 0 0 0]
134,CS(=O)(=O)Oc1nc(N2CCCCC2)nc2c(Br)cc(F)cc12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005ddf20>,[0 0 1 ... 0 0 0]
135,O=S(=O)(Oc1nc(N2CCCCC2)nc2c(Br)cc(F)cc12)C(F)(F)F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005ddf90>,[0 0 1 ... 0 0 0]
136,C=c1c2ccc(N(C)C)c3cccc(c(=O)n1CC)c32,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021de40>,[0 0 0 ... 0 0 0]
137,C=C1CC(=O)N([C@@H]2O[C@@]3(COP(O)(=S)O[C@H]4[C@H]5OC[C@]4(COP(=O)(S)O[C@H]4[C@H]6OC[C@]4(COP(O)(=S)O[C@H]4C[C@H](n7cnc8c(=O)[nH]c(N)nc87)O[C@@H]4COP(O)(=S)O[C@H]4C[C@H](n7cnc8c(N)ncnc87)O[C@@H]4COP(O)(=S)O[C@H]4[C@H]7OC[C@]4(COP(O)(=S)O[C@H]4C[C@H](n8ccc(N)nc8=O)O[C@@H]4COP(O)(=S)O[C@H]4[C@H]8OC[C@]4(COP(O)(=S)O[C@H]4C[C@H](n9cnc%10c(=O)[nH]c(N)nc%109)O[C@@H]4COP(O)(=S)O[C@H]4C[C@H](n9cnc%10c(=O)[nH]c(N)nc%109)O[C@@H]4COP(O)(=S)O[C@H]4[C@H]9OC[C@]4(COP(O)(=S)O[C@H]4C[C@H](N%10C=C(C)C(=O)CC%10=O)O[C@@H]4COP(O)(=S)O[C@H]4C[C@H](n%10ccc(N)nc%10=O)O[C@@H]4COP(O)(=S)O[C@H]4[C@H]%10OC[C@]4(COP(O)(=S)O[C@H]4C[C@H](n%11cnc%12c(N)ncnc%12%11)O[C@@H]4COP(O)(=S)O[C@H]4[C@H]%11OC[C@]4(CO)O[C@H]%11n4cnc%11c(=O)[nH]c(N)nc%114)O[C@H]%10n4cnc%10c(=O)[nH]c(N)nc%104)O[C@H]9n4cnc9c(=O)[nH]c(N)nc94)O[C@H]8N4C=C(C)C(=O)CC4=O)O[C@H]7n4cnc7c(N)ncnc74)O[C@H]6n4cnc6c(N)ncnc64)O[C@H]5n4cnc5c(N)ncnc54)CO[C@@H]2[C@@H]3O)C=C1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021ddd0>,[0 0 0 ... 0 0 0]
138,CCc1nc(C(=O)OC2CN(c3nc4c(c(N(C)C5CCOCC5)n3)[S+](C)CC4)C2)co1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021dcf0>,[1 0 0 ... 0 0 0]
139,C=CC(=O)N1CCN(c2nc(=O)n3c4c(c(-c5cc(Cl)c(F)cc5F)c(C)cc24)SCC2(COC2)C3)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021dd60>,[0 0 0 ... 0 0 0]
140,C=CC(=O)N1C[C@H](C)N(c2nc(=O)n3c4c(c(-c5ccc(F)cc5F)c(C)cc24)SCC2(COC2)C3)C[C@H]1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021dc80>,[0 0 0 ... 0 0 0]
141,C=CC(=O)N1[C@H](C)CN(c2nc(=O)n3c4c(c(-c5cc(Cl)c(F)cc5F)c(C)cc24)SCC2(COC2)C3)C[C@@H]1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021df90>,[0 0 0 ... 0 0 0]
142,C=CC(=O)N1C[C@H](C)N(c2nc(=O)n3c4c(c(-c5cc(Cl)c(F)cc5F)c(C)cc24)SCC2(COC2)C3)C[C@H]1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021dc10>,[0 0 0 ... 0 0 0]
143,CC(=O)CC1CCN(c2ccc(N)cc2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021dba0>,[0 0 0 ... 0 0 0]
144,CC(=O)CC1CCN(c2ccc([N+](=O)[O-])cc2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021db30>,[0 0 0 ... 0 0 0]
145,O=C(O)CC1CCN(c2ccc(CC3CCC(=O)NC3=O)cc2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021dac0>,[0 0 0 ... 0 0 0]
146,CC(=O)CC1CCN(c2ccc(CC3CCC(=O)NC3=O)cc2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021da50>,[0 0 0 ... 0 0 0]
147,COc1cc(-c2cn(C)c(=O)c3[nH]ncc23)cc(F)c1CN1CCN(C(=O)CC2CCN(c3ccc(CC4CCC(=O)NC4=O)cc3)CC2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021d9e0>,[0 0 0 ... 0 0 0]
148,Cc1ccccc1-c1cccc2c1Nc1cc(-c3ccccc3F)cc3c1B2c1cccc2c1N3c1ccccc1C2(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021d970>,[0 0 0 ... 0 0 0]
149,CNc1ccc(-c2cn3ncc4c3nc2NCc2cc(F)cnc2O[C@@H](C)CNC4O)c(Cl)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021d900>,[0 0 0 ... 0 0 0]
150,CCCCCc1cc2c(c(O)c1C(=O)O)C=CC(C)(CCC=C(C)C)C2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021d890>,[0 1 0 ... 0 0 0]
151,Cc1cnn2cc(F)cc2c1C(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021d820>,[0 1 0 ... 0 0 0]
152,Cc1ccc2c(C(C)C)cnnc2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021d7b0>,[0 1 0 ... 0 0 0]
153,Cc1ccc2c(C(C)C)c(C)nnc2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021d740>,[0 1 0 ... 0 0 0]
154,COc1cc(C)cc2c(C(C)C)cnnc12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021d6d0>,[0 1 0 ... 0 0 0]
155,O=C(N[C@@H](Cc1ccc(F)cc1)C(=O)C[C@H](CO)Cc1ccccc1)c1ccc(F)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021d660>,[0 1 0 ... 0 0 0]
156,CCc1cc(OC(c2cc(/C=N\OCCOC)c(F)cn2)c2nnco2)cc2sc(C)nc12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021d5f0>,[0 1 0 ... 0 0 0]
157,C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(C)=O)C(CCC(=O)NCCCCCC)=C4C)c(C)c3C=C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021d580>,[0 0 0 ... 0 0 0]
158,C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(C)=O)C(CCC(=O)NCCCCCCCC)=C4C)c(C)c3C=C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021deb0>,[0 0 0 ... 0 0 0]
159,C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(C)=O)C(CCC(=O)NCCCCCCCCCC)=C4C)c(C)c3C=C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x14750021df20>,[0 0 0 ... 0 0 0]
160,C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(C)=O)C(CCC(=O)NCCCCCCCCCCCC)=C4C)c(C)c3C=C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772040>,[0 0 0 ... 0 0 0]
161,CC(C)CCc1c[nH]c2cccc(OP(=O)([O-])O)c12,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007720b0>,[0 1 0 ... 0 0 0]
162,Cc1ccc(C(=O)N(CC2CC2)c2cccc(C(=O)Nc3c(Br)cc(C(C)(C)F)cc3C(F)(F)F)c2F)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772120>,[0 0 0 ... 0 0 0]
163,CNc1cc2nc3c(cnn13)C(=O)NCCn1ccc(c1)N2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772190>,[0 0 0 ... 0 0 0]
164,C=C1CCNC(=O)c2cnn3c(NC)cc(nc23)Nc2cccc1c2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772200>,[0 0 0 ... 0 0 0]
165,CNc1cc2nc3c(cnn13)C(=O)NCCCOc1ccc(C)cc1N2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772270>,[0 0 0 ... 0 0 0]
166,C=C(OC)C(C)(I)CC(C(=O)OCC)c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007722e0>,[0 1 0 ... 0 0 0]
167,COC(=O)C1CC(n2cc3cc(NC(=O)c4cccc(C)n4)c(Cl)cc3n2)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772350>,[0 0 0 ... 0 0 0]
168,Cc1cccc(C(=O)Nc2cc3cn(C4CC(C(C)(C)O)C4)nc3cc2Cl)n1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007723c0>,[0 0 0 ... 0 0 0]
169,C[N+](=O)c1ccc(N2CCN(C(=O)OC(C)(C)C)C3(CC3)C2)cn1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772430>,[0 0 0 ... 0 0 0]
170,[C-]#[N+]C1(Cc2ccc(OCC)c(-c3nn4c(CCC)nc(C)c4c(=O)[nH]3)c2)CCOC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007724a0>,[0 0 0 ... 0 0 0]
171,COC[C@@H]1C[C@H](O)CN1C(=O)c1cc(OC)c(OC(C)=O)cc1[N+](=O)[O-],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772510>,[0 0 0 ... 0 0 0]
172,C=Nc1ccc(C#N)cc1OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772580>,[0 0 0 ... 0 0 0]
173,CC[C@H](C)[C@@H](C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)NCC1=CCN=N1)C3)N(C)C(=O)CC(=O)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007725f0>,[0 1 0 ... 0 0 0]
174,CC[C@H](C)[C@@H](C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)NCC1=CCN=N1)C3)N(C)C(=O)CC(N)=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772660>,[0 1 0 ... 0 0 0]
175,CC[C@H](C)[C@@H](C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)NCC1=CCN=N1)C3)N(C)C(=O)CC(=O)OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007726d0>,[0 1 0 ... 0 0 0]
176,CC[C@H](C)[C@@H](C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)NCC1=CCN=N1)C3)N(C)C(=O)Cn1ccnc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772740>,[0 1 0 ... 0 0 0]
177,CC[C@H](C)[C@@H](C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)NCC1=CCN=N1)C3)N(C)C(=O)Cc1ncc[nH]1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007727b0>,[0 1 0 ... 0 0 0]
178,CC[C@H](C)[C@@H](C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)NCC1=CCN=N1)C3)N(C)C(=O)CC(=O)NC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772820>,[0 1 0 ... 0 0 0]
179,CC[C@H](C)[C@@H](C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)NCC1=CCN=N1)C3)N(C)C(=O)CC1=CCC=N1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772890>,[0 1 0 ... 0 0 0]
180,CC[C@H](C)[C@@H](C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)NCC1=CCN=N1)C3)N(C)C(=O)CC(=O)N(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772900>,[0 1 0 ... 0 0 0]
181,CC[C@H](C)[C@@H](C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)NCc1cnc[nH]1)C3)N(CCOCCF)C(C)=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772970>,[0 1 0 ... 0 0 0]
182,CC[C@H](C)[C@@H](C(=O)N[C@H]1CCc2cccc3c2N(C1=O)[C@H](C(=O)NCC1=CCN=N1)C3)N(CCC(=O)O)C(=O)COCCF,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007729e0>,[0 1 0 ... 0 0 0]
183,Cc1cc2nc(C3CCCC3)nc(N3CC(CCNS(N)(=O)=O)C3)c2cc1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772a50>,[0 0 0 ... 0 0 0]
184,COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCOCCOCCOCCOCCOCCOCCC(=O)CCCCN(C)CCCCC(=O)CCCC(=O)c4nc(CC(=O)CCCC(=O)c5cc(CC(=O)c6nc(CC(=O)CCCC(=O)c7cc(CC(=O)c8nccn8C)cn7C)cn6C)cn5C)cn4C)c(C)c3)nc2c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772ac0>,[0 0 0 ... 0 0 0]
185,C=Pc1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2-c1c(-c2nc(-c3ccccc3)c(C#N)c(-c3ccccc3)n2)ccc(-c2ccccc2)c1-c1ccccc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772b30>,[0 0 0 ... 0 0 0]
186,CC1(C)CC[C@]2(C(=O)n3cnc(-c4ccccc4)c3)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772ba0>,[0 0 0 ... 0 0 0]
187,CCc1ccc(C2CCC(CC)CC2)c(Cl)c1F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772c10>,[0 0 0 ... 0 0 0]
188,CCc1ccc(CCC2CCC(CC)CC2)c(Cl)c1F,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772c80>,[0 0 0 ... 0 0 0]
189,CCc1ccc(CCC2CCC(CC)CC2)c(F)c1Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772cf0>,[0 0 0 ... 0 0 0]
190,CCC(O)(CC)CN(CCO)OP(C)(=O)[O-],<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772d60>,[0 0 0 ... 0 0 0]
191,Cc1ccnc(C(=O)C2CCC(C)C2=O)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500772eb0>,[0 0 0 ... 0 0 0]
192,O=C(CC1CCC(Nc2cc(C(F)F)nc3ccc(Cl)cc23)CC1)c1c[nH]c2cccnc2c1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3c80>,[0 1 0 ... 0 0 0]
193,CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](C)C(O)[C@H]2O)OC(CN=[N+]=[N-])C(O)C1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3c10>,[0 0 0 ... 0 0 0]
194,CC1=C[C@@H](C(N)=O)N2C[C@@H]1N(OCCC(=O)O)C2=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3ba0>,[0 0 0 ... 0 0 0]
195,Cc1cc(CC2CCC3(CCN(C(=O)OC(C)C(F)(F)F)CC3)N2)cc(NCCCC(=O)O)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3b30>,[0 1 0 ... 0 0 0]
196,Cc1ccc(N(C2=c3oc4ccccc4c3=CC(C)C2)c2ccc3c(c2)c2ccccc2c2c4ccc(N(c5ccc(C)cc5)c5cccc6c5oc5ccccc56)cc4sc32)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3ac0>,[0 0 0 ... 0 0 0]
197,NOCCCC(=O)CCC(=O)CNC(=O)CCC(=O)CNC(=O)[C@H](CO)CC(=O)CC[C@H](NC(=O)CCCCCCCCCCCCCC(=O)O)C(=O)O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3a50>,[0 1 0 ... 0 0 0]
198,CC[C@H](CC(=O)CC[C@H](NC(=O)CCCCCCCCCCCCCC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)C(=O)NCC(=O)CCC(=O)NCC(=O)CCC(=O)NCCONC(c1ccccc1)(c1ccc(C)cc1)c1ccccc1Cl,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c39e0>,[0 1 0 ... 0 0 0]
199,N#CC1=C(N2CC[C@@H](n3ccnn3)C2)c2ncccc2CC1=O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3970>,[0 0 0 ... 0 0 0]
200,CCc1nc2sc(N3CCCC(N(C)C(N)=O)C3)nn2c1N(C)c1nc(-c2ccc(C)cc2)c(C#N)s1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3900>,[0 0 0 ... 0 0 0]
201,CCc1nc2sc(N3CCC4(CC3)CN(C(N)=O)C4)nn2c1N(C)c1nc(-c2ccc(C)cc2)c(C#N)s1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3890>,[0 0 0 ... 0 0 0]
202,CCc1nc2sc(N3CCCC(N(C)CC(=O)N4CC(O)C4)C3)nn2c1N(C)c1nc(-c2ccc(C)cc2)c(C#N)s1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3820>,[0 0 0 ... 0 0 0]
203,CCc1nc2sc(N3CCC4(CC3)CN(CC(=O)N3CC(O)C3)C4)nn2c1N(C)c1nc(-c2ccc(C)cc2)c(C#N)s1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c37b0>,[0 0 0 ... 0 0 0]
204,CC[C@H]1OC(c2cnc3c(NC4CCCC4)nc(Cl)nn23)[C@H](OCc2ccccc2)[C@@H]1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3740>,[0 0 0 ... 0 0 0]
205,CC[C@H]1OC(O)(c2cnc3c(NC4CCCC4)nc(Cl)nn23)[C@H](OCc2ccccc2)[C@@H]1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c36d0>,[0 0 0 ... 0 0 0]
206,Cc1ccc(F)cc1C(=O)NCc1ccc(-n2nc(C3CCOC3)c(N)c2C(=O)O)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3660>,[0 0 0 ... 0 0 0]
207,CCOC(=O)c1c(N)c(C2CCOC2)nn1-c1ccc(CNC(=O)c2cc(F)ccc2C)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c35f0>,[0 0 0 ... 0 0 0]
208,COC(=O)N1c2ccc3c(nc(Cc4ccccc4)n3[C@H]3CCN[C@@H](C)C3)c2CC[C@@H]1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3580>,[0 0 0 ... 0 0 0]
209,COC(=O)N1c2ccc3c(nc(CCn4cccn4)n3CC(=O)CCC(=O)N(C)C)c2CC[C@@H]1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475007c3510>,[0 0 0 ... 0 0 0]
210,COC(=O)N1c2ccc3c(nc(CN4c5ccccc5CS4(=O)=O)n3[C@@H]3CCC[C@@H](C(C)=O)C3)c2CC[C@@H]1C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005ee040>,[0 0 0 ... 0 0 0]
211,CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2C(C)(C)C)c2c(-c3ccccc3)cc(-c3nc(-c4ccccc4)nc(-c4ccccc4)n3)cc2-c2ccccc2)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005ee0b0>,[0 0 0 ... 0 0 0]
212,c1ccc(-c2ccc3c4c(cccc24)C2(c4cc(N(c5ccc6c(c5)sc5ccccc56)c5cccc6ccccc56)ccc4-c4cccc5cccc2c45)c2ccccc2-3)cc1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475005ee120>,[0 0 0 ... 0 0 0]
