,SMILES,FP,FP array
25,COc1ccc2c(c1)S/C(=C\C=C\c1cc[n+](CCO)c3ccccc13)N2CCO,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836190>,[0 0 0 ... 0 0 0]
26,CN1/C(=C\C=C\c2cc[n+](Cc3cccc(B(O)O)c3)c3ccccc23)Sc2ccccc21,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836200>,[0 0 0 ... 0 0 0]
27,CCCCCCCCCCCCCCCCCCCC(=O)CCN1CCCC(C)C1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836270>,[0 0 0 ... 0 0 1]
28,CCCCCCCCC(CCCCCC)CC(=O)CCCCCCN(CCCCCOC(=O)CC(CCCCCC)CCCCCCCC)CCN(CCO)C1CCCCC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008362e0>,[0 1 1 ... 0 0 0]
29,CN(C(=O)OCC1c2ccccc2-c2ccccc21)[C@@H](Cc1ccccc1)C(=O)C[C@@H](Cc1ccccc1)C(=O)O[Si](C)(C)C,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836350>,[0 1 0 ... 0 0 0]
30,C#CC(=O)N1CCN(c2ccc(-c3cc(OCC4(C)CCC4)cn4ncc(C#N)c34)cn2)CC1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008363c0>,[0 0 0 ... 0 0 0]
31,N/C(=N\C=[NH2+])c1[nH]c(C2CCOCC2)cc1Br,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836430>,[0 0 0 ... 0 0 0]
32,CCc1ccc(Oc2cccnc2OC)c([C@]2(C(=O)CS(=O)(=O)c3cccc4nc(C)ccc34)CCCO2)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008364a0>,[0 0 0 ... 0 0 0]
33,CCc1ccc(Oc2cccnc2OC)c([C@@]2(C(=O)CS(=O)(=O)c3cccc4nc(C)ccc34)CCCO2)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836510>,[0 0 0 ... 0 0 0]
34,CCc1ccc(Oc2cccnc2OC)c(C2(C(=O)CS(=O)(=O)c3cccc4nc(C)ccc34)CCCO2)c1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836580>,[0 0 0 ... 0 0 0]
35,COC1[C@@H](OC)O[C@@H](n2cc(I)c(=O)[nH]c2=O)[C@H]1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008365f0>,[0 0 0 ... 0 0 0]
36,COC1C[C@H](n2cnc3c(=O)[nH]c(N)nc32)O[C@@H]1OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836660>,[0 0 0 ... 0 0 0]
37,COC1[C@@H](OC)O[C@@H](n2cnc3c(N)nc(Br)nc32)[C@H]1O,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x1475008366d0>,[0 0 0 ... 0 0 0]
38,COC1C[C@H](n2cnc3c(=O)[nH]c([N+](C)(C)C)nc32)O[C@@H]1OC,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x147500836740>,[0 0 0 ... 0 0 0]
